Volunteers of America of North Louisiana,,,,,,,,,
FY26 Budget,,,,,,,,,
,,,,,,,,,
,3001 VA HOUSING,3007 MED RESPITE,3010 SUDS,3013 SAFE HAVEN,3031 SSVF,3032 SHALLOW SUBSIDY,3033 VASH,3035 SSVF AR,Veterans
,000 N A,000 N A,000 N A,000 N A,000 N A,000 N A,000 N A,000 N A,Total Site
o---------------------Income Statement Accounts-------------------------o,,,,,,,,,  
                  4000 - CONTRIBUTIONS,  ,  ,  ,  ,  ,  ,  ,, -   
"                  4001 - CONTRIBUTIONS - INDIVIDUALS, CASH",  ,  ,  ,  ,  ,  ,  ,, -   
                  4010 - CONTRIBUTIONS - INKIND,  ,  ,  ,  ,  ,  ,  ,, -   
                  4015 - CONTRIBUTIONS - GIFTCARDS,  ,  ,  ,  ,  ,  ,  ,, -   
                  4100 - CONTRIBUTIONS - ENTERPRISE AUTO SALES,  ,  ,  ,  ,  ,  ,  ,, -   
                  4301 - CONTRIBUTIONS - LEGACIES AND BEQUESTS,  ,  ,  ,  ,  ,  ,  ,, -   
                  4400 - CONTRIBUTIONS - CORPORATIONS,  ,  ,  ,  ,  ,  ,  ,, -   
                  4500 - CONTRIBUTIONS - FOUNDATIONS & CHURCHES,  ,  ,  ,  ,  ,  ,  ,, -   
                  4700 - UNITED WAY ALLOCATIONS,  ,  ,  ,  ,  ,  ,  ,, -   
                  4800 - COMBINED FEDERAL CAMPAIGN,  ,  ,  ,  ,  ,  ,  ,, -   
               Total 4000 - CONTRIBUTIONS, -   , -   , -   , -   , -   , -   , -   ,, -   
                  5000 - GOVNTL REVENUE,  ,  ,  ,  ,  ,  ,  ,, -   
                  5001 - GOVERNMENT - DIRECT FEDERAL," 809,361.95 "," 419,998.20 "," 277,400.00 "," 639,480.00 ",  ,  ,  ," 500,000.00 "," 2,646,240.15 "
                  5010 - GOVERNMENT - COVID19,  ,  ,  ,  ,  ,  ,  ,, -   
                  5090 - GOVERNMENT - PASS THRU FEDERAL,  ,  ,  ,  ," 867,749.02 ",  ," 15,625.00 ",," 883,374.02 "
                  5100 - GOVERNMENT - STATE,  ,  ,  ,  ,  ,  ,  ,, -   
                  5200 - GOVERNMENT - LOCAL," 25,000.00 ",  ,  ,  ,  ,  ,  ,," 25,000.00 "
                  5400 - MEDICAID,  ,  ,  ,  ,  ,  ,  ,, -   
                  5500 - MEDICARE,  ,  ,  ,  ,  ,  ,  ,, -   
                  5501 - MEDICARE CONTRACTUAL ADJUSTMENTS,  ,  ,  ,  ,  ,  ,  ,, -   
               Total 5000 - GOVNTL REVENUE," 834,361.95 "," 419,998.20 "," 277,400.00 "," 639,480.00 "," 867,749.02 ", -   ," 15,625.00 "," 500,000.00 "," 3,554,614.17 "
                  6000 - OTHER REVENUE,  ,  ,  ,  ,  ,  ,  ,, -   
                  6010 - OTHER GRANTS,  ,  ,  ,  ,  ,  ,  ,, -   
                  6020 - PROGRAM SERVICE FEES,  ,  ,  ,  ,  ,  ,  ,, -   
                  6200 - RENTAL INCOME, 600.00 ,  ,  ,  ,  ,  ,  ,, 600.00 
                  6300 - CANTEEN INCOME, 700.00 ,  ,  ,  ,  ,  ,  ,, 700.00 
                  6400 - ADMINISTRATIVE INCOME,  ,  ,  ,  ,  ,  ,  ,, -   
                  6500 - MISCELLANEOUS INCOME,  ,  ,  ,  ,  ,  ,  ,, -   
                  6705 - UNUSUAL OR INFREQUENTLY OCCURRING ITEMS,  ,  ,  ,  ,  ,  ,  ,, -   
               Total 6000 - OTHER REVENUE," 1,300.00 ", -   , -   , -   , -   , -   , -   , -   ," 1,300.00 "
               99999 - Release from Restriction, -   , -   , -   , -   , -   , -   , -   ,, -   
            Income," 835,661.95 "," 419,998.20 "," 277,400.00 "," 639,480.00 "," 867,749.02 ", -   ," 15,625.00 "," 500,000.00 "," 3,555,914.17 "
            Cost of Sales,  ,  ,  ,  ,  ,  ,  ,, -   
         Gross Profit," 804,098.00 ",  ," 277,400.00 "," 639,480.00 "," 837,294.00 ",  ,  ,," 2,558,272.00 "
               7000 - SALARIES & BENEFITS, -   ,  ,  ,  ,  ,  ,  ,, -   
               7001 - REGULAR SALARIES," 314,425.40 "," 92,260.24 "," 45,333.06 "," 186,202.35 "," 308,047.24 ", -   ," 2,719.42 "," 163,763.81 "," 1,112,751.52 "
               7002 - OVERTIME," 21,126.97 "," 3,759.21 "," 5,769.92 "," 44,601.26 "," 1,148.70 ", -   , -   , 39.74 ," 76,445.79 "
               7008 - OTHER EMPLOYEE COMPENSATION, -   , -   , -   , -   , -   , -   , -   , -   , -   
               7009 - ACCRUED VACATION EXPENSE, -   ,  ,  ,  ,  ,  ,  ,, -   
               7015 - TEMPORARY HELP, -   ,  ,  ,  ,,  ,  ,, -   
               7103 - GROUP INSURANCE," 16,777.62 "," 3,904.00 "," 2,555.15 "," 11,540.18 "," 31,138.64 ",, 146.85 ," 17,957.69 "," 84,020.13 "
               7104 - RETIREMENT PREMIUMS," 4,469.03 "," 3,904.00 ", 249.31 ," 4,422.62 "," 11,120.00 ",, 802.74 ,," 24,967.70 "
               7105 - OTHER EMPLOYEE BENEFITS,  ,  ,  ,  ,  ,  ,  ,, -   
               7201 - FICA EXPENSE - EMPLOYER," 25,669.76 "," 7,345.49 "," 3,909.38 "," 17,656.48 "," 23,653.49 ", -   , 208.04 ," 12,530.97 "," 90,973.59 "
               7203 - WORKER'S COMP & DISABILITY INS," 7,549.93 "," 2,160.44 "," 1,149.82 "," 5,193.08 "," 6,956.91 ",, 61.19 ," 3,685.58 "," 26,756.94 "
               7510 - EMPLOYEE TRAINING & DEVELOPMENT, -   ,  ,  ,  ," 2,000.00 ",  ,  ,," 2,000.00 "
            Total 7000 - SALARIES & BENEFITS," 390,018.71 "," 113,333.37 "," 58,966.63 "," 269,615.97 "," 384,064.98 ", -   ," 3,938.22 "," 197,977.79 "," 1,417,915.67 "
               8000 - EXPENSES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8001 - LEGAL FEES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8002 - ACCOUNTING & AUDIT FEES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8004 - DEVELOPMENT & PR EXPENSES, 99.96 ,  ,  ,  , 249.96 ,  ,  ," 8,000.00 "," 8,349.92 "
               8005 - MEDIA EXPENSES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8007 - OTHER PROFESSIONAL FEES," 34,400.04 "," 15,600.00 ",  ,  ," 18,000.00 ",  ,  ,," 68,000.04 "
               8008 - MEDICAL & HEALTHCARE PROFESSIONAL, -   ,  ,  ,  ,  ,  ,  ,, -   
               8010 - COMPUTER EXPENSE," 12,976.74 "," 1,674.42 "," 3,348.84 "," 11,584.00 "," 16,039.00 ",, 950.00 ," 11,500.00 "," 58,073.00 "
               8030 - OUTSOURCED SERVICES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8040 - PARTNER FEES - PASS THROUGH, -   ,  ,  ,  ,  ,  ,  ,, -   
               8050 - MANAGEMENT FEES - HUD 811, -   ,  ,  ,  ,  ,  ,  ,, -   
               8080 - MEMBERSHIPS TO OTHER ORGANIZATIONS, 50.04 ,  ,  ,  , 300.00 ,  ,  ,, 350.04 
               8101 - PROGRAM FOOD & BEVERAGE," 3,500.04 ",  , 800.00 ,  , 50.04 ,  ,  ,," 4,350.08 "
               8105 - PROGRAM FOOD SERVING/PREP SUPPLIES," 7,500.00 ",  ,  ,  ,  ,  ,  ,," 7,500.00 "
               8110 - PROGRAM EDUCATIONAL SUPPLIES, 300.00 ,  ,  ,  ,  ,  ,  ,, 300.00 
               8115 - RECREATIONAL & CRAFT SUPPLIES," 1,200.00 ",  ,  ,  ,  ,  ,  ,," 1,200.00 "
               8120 - MEDICAL SUPPLIES," 5,538.46 "," 5,000.00 "," 1,461.54 ",  ,  ,  ,  ,," 12,000.00 "
               8121 - SUPPLIES RELATED WITH COVID-19, -   ,  ,  ,  ,  ,  ,  ,, -   
               8125 - HOUSEKEEPING SUPPLIES," 5,775.82 "," 5,040.00 "," 1,524.18 ",  , 500.04 ,  ,  ,," 12,840.04 "
               8130 - OFFICE SUPPLIES," 2,927.47 "," 3,000.00 ", 772.53 ,  ," 3,900.00 ",  ,  ," 5,000.00 "," 15,600.00 "
               8135 - FURNITURE & EQUIPMENT," 3,999.96 ",," 5,000.00 ",  ," 2,000.04 ",  ,  ," 1,500.00 "," 12,500.00 "
               8140 - COPIER LEASE & SUPPLIES," 3,718.68 "," 4,200.00 ", 981.32 ,  ," 5,166.00 ",  ,  ,," 14,066.00 "
               8201 - PRINTING & PRINTING SUPPLIES, 20.04 ,  ,  ,  , 300.00 ,  ,  ,, 320.04 
               8203 - POSTAGE & SHIPPING EXPENSE, -   , 120.00 , 20.00 ,  , 300.00 ,  ,  ,, 440.00 
               8205 - TELEPHONE EXPENSE," 2,373.63 "," 2,400.00 ", 626.37 ,  ," 2,600.04 ",  ,  ,," 8,000.04 "
               8301 - OFFICE UTILITIES," 1,700.04 ",,,  , 300.00 ,  ,  ,," 2,000.04 "
               8305 - RENT OF SPACE, -   ,,  ,  ,  ,  ,  ," 13,569.00 "," 13,569.00 "
               8310 - RENT OF SPACE - INTERCOMPANY, -   ,,  ,  ," 37,388.31 ",  ," 2,451.69 ",," 39,840.00 "
               8315 - OFFICE MOVING EXPENSE, -   ,  ,  ,  ,  ,  ,  ,, -   
               8330 - LICENSES & PERMITS, -   ,  ,  ,  ,  ,  ,  ,, -   
               8335 - PROPERTY TAXES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8401 - REPAIRS & MAINTENANCE CONTRACT," 14,637.36 "," 3,528.00 "," 3,862.64 "," 16,073.00 "," 9,772.00 ",,,," 47,873.00 "
               8501 - MAINTENANCE SERVICES - INHOUSE," 6,646.15 ",  ," 1,753.85 ", 285.00 , 30.00 ,  ,  ,," 8,715.00 "
               8605 - INSURANCE - GENERAL & LIABILITY," 29,040.00 "," 5,000.00 "," 6,120.00 "," 14,760.00 "," 15,600.00 ",  ," 1,200.00 "," 12,000.00 "," 83,720.00 "
               8607 - PROPERTY INSURANCE - MULTIFAMILY, -   ,  ,  ,  ,  ,  ,  ,, -   
               8610 - INSURANCE - AUTO," 10,213.63 "," 2,091.00 "," 5,412.00 "," 5,723.16 ",  ,  ,  ,," 23,439.79 "
               8625 - AGENCY VEHICLE OPERATING COST," 2,880.00 "," 4,200.00 ", 960.00 , 480.00 ,  ,  ,  ,," 8,520.00 "
               8630 - AUTO LEASES," 13,716.00 "," 2,520.00 "," 9,552.00 "," 10,548.00 ",  ,  ,  ,," 36,336.00 "
               8635 - MILEAGE & VEHICLE RENTAL, 500.04 ,  ,  ,  ," 2,322.00 ",  ,  ,," 2,822.04 "
               8640 - CONFERENCES & MEETINGS - OUTSIDE," 2,000.04 ",  ,  , 500.04 , 999.96 ,  ,  ,," 3,500.04 "
               8645 - STAFF CONFERENCES & MEETINGS - INHOUSE, -   ,  ,  ,  ,  ,  ,  ,, -   
               8801 - DIRECT CLIENT ASSISTANCE - INKIND,,  ,  ,,  ,  ,  ,, -   
               8805 - ROOM & BOARD,,  ,  ," 150,000.00 "," 303,588.95 ",  ," 5,468.75 "," 200,000.00 "," 659,057.70 "
               8810 - ROOM & BOARD - INTERCOMPANY, -   ,  ,  ,  ,  ,  ,  ,, -   
               8815 - CLIENT UTILITIES," 31,720.93 "," 4,093.02 "," 8,186.05 ",  ,  ,  ,  ,," 44,000.00 "
               8820 - CLIENT FOOD SERVICE," 190,325.58 "," 24,558.14 "," 49,116.28 "," 45,000.00 ",  ,  ,  ,," 309,000.00 "
               8825 - CANTEEN EXPENSES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8830 - CLOTHING & PERSONAL NEEDS," 4,500.00 "," 4,200.00 ", 500.00 , 500.04 ,  ,  ,  ,," 9,700.04 "
               8835 - INCENTIVES FOR CLIENTS, 600.00 ,  ,  , 399.96 ,  ,  ,  ,, 999.96 
               8840 - MEDICAL FEES FOR CLIENTS, -   ,  ,  ,  ,  ,  ,  ,, -   
               8845 - CLIENT CASH SUBSIDY/ SCHOLARSHIPS, -   ,  ,  ,  ,  ,  ,  ,, -   
               8846 - CLIENT CASH SUBSIDY, -   ,  ,  ,  ,  ,  ,  ,, -   
               8850 - CLIENT MOVING EXPENSES, -   ,  ,  ,  ,  ,  ,  ,, -   
               8855 - CLIENT FURNITURE, -   ,  ,  ,  ,  ,  ,  ,, -   
               8860 - TRANSPORTATION, 300.00 ,  ,  , 300.00 ,  ,  ,  ,, 600.00 
               8865 - CLIENT NEEDS - COVID-19, -   ,  ,  ,  ,  ,  ,  ,, -   
            Total 8000 - EXPENSES," 393,160.67 "," 87,224.58 "," 99,997.58 "," 256,153.20 "," 419,406.34 ", -   ," 10,070.44 "," 251,569.00 "," 1,517,581.81 "
               9000 - OTHER EXPENSES, -   ,  ,  ,  ,  ,  ,  ,, -   
               9100 - LOAN INTEREST, -   ,  ,  ,  ,  ,  ,  ,, -   
               9200 - BANK FEES, -   ,  ,  ,  ,  ,  ,  ,, -   
               9300 - LATE FEES & PENALTIES, -   ,  ,  ,  ,  ,  ,  ,, -   
               9400 - BAD DEBT, -   ,  ,  ,  ,  ,  ,  ,, -   
               9450 - MISCELLANEOUS EXPENSE, -   ,  ,  ,  ,  ,  ,  ,, -   
               9500 - DEPRECIATION," 86,113.82 ",  ,  ,  ,  ,  ,  ,," 86,113.82 "
               9700 - NATIONAL FEES, -   ,  ,  ,  ,  ,  ,  ,, -   
            Total 9000 - OTHER EXPENSES," 86,113.82 ", -   , -   , -   , -   , -   , -   , -   ," 86,113.82 "
               9600 - ADMINISTRATIVE EXPENSE," 151,870.72 "," 35,038.67 "," 27,772.00 "," 91,855.02 "," 140,371.25 ", -   ," 2,447.40 "," 78,538.51 "," 527,893.57 "
         Expense," 1,021,163.92 "," 235,596.63 "," 186,736.21 "," 617,624.19 "," 943,842.56 ", -   ," 16,456.06 "," 528,085.31 "," 3,549,504.87 "
      Ordinary Income/Expense," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)",," (2,139,319.52)"
   Net Ordinary Income," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)"," (305,617.07)",," (2,139,319.52)"
               6800 - NON OPERATING ACTIVITY,  ,  ,  ,  ,  ,  ,  ,, -   
               6801 - INTEREST INCOME,  ,  ,  ,  ,  ,  ,  ,, -   
               6810 - INVESTMENT INCOME,  ,  ,  ,  ,  ,  ,  ,, -   
               6820 - INVESTMENT FEES,  ,  ,  ,  ,  ,  ,  ,, -   
               6830 - GAINS(LOSSES) ON INVEST SALES,  ,  ,  ,  ,  ,  ,  ,, -   
               6840 - UNREALIZED GAINS (LOSSES) ON INVESTMENTS,  ,  ,  ,  ,  ,  ,  ,, -   
            Total 6800 - NON OPERATING ACTIVITY, -   , -   , -   , -   , -   , -   , -   ,, -   
         Other Income,  ,  ,  ,  ,  ,  ,  ,, -   
               9900 - NON OPERATING EXPENSES,  ,  ,  ,  ,  ,  ,  ,, -   
               9910 - NET GAIN/LOSS FROM INSURANCE PROCEEDS,  ,  ,  ,  ,  ,  ,  ,, -   
               9930 - NET GAIN/LOSS ON DISPOSAL OF ASSETS,  ,  ,  ,  ,  ,  ,  ,, -   
            Total 9900 - NON OPERATING EXPENSES, -   , -   , -   , -   , -   , -   , -   ,, -   
            NS 01 - Unrealized Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            NS 02 - Unrealized Matching Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            NS 11 - Rounding Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            NS 1 - Unrealized Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            NS 2 - Unrealized Matching Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            Unrealized Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
            Unrealized Matching Gain/Loss,  ,  ,  ,  ,  ,  ,  ,, -   
         Other Expense,  ,  ,  ,  ,  ,  ,  ,, -   
      Other Income and Expenses,  ,  ,  ,  ,  ,  ,  ,, -   
   Net Other Income,  ,  ,  ,  ,  ,  ,  ,, -   
Net Income," (185,501.97)"," 184,401.57 "," 90,663.79 "," 21,855.81 "," (76,093.54)", -   , (831.06)," (28,085.31)"," 6,409.30 "
Income Statement," (158,857.48)"," (55,665.43)"," 123,025.94 "," 59,018.08 "," (93,727.45)"," (18,905.09)"," (21,717.26)",," (166,828.68)"
,,,,,,,,,
